column_id	column_name_ja	column_name_en
1	一連番号	sequenceNumber
2	法人番号	corporateNumber
3	処理区分	process
4	訂正区分	correct
5	更新年月日	updateDate
6	変更年月日	changeDate
7	商号又は名称	name
8	商号又は名称イメージID	nameImageId
9	法人種別	kind
10	国内所在地（都道府県）	prefectureName
11	国内所在地（市区町村）	cityName
12	国内所在地（丁目番地等）	streetNumber
13	国内所在地イメージID	addressImageId
14	都道府県コード	prefectureCode
15	市区町村コード	cityCode
16	郵便番号	postCode
17	国外所在地	addressOutside
18	国外所在地イメージID	addressOutsideImageId
19	登記記録の閉鎖等年月日	closeDate
20	登記記録の閉鎖等の事由	closeCause
21	承継先法人番号	successorCorporateNumber
22	変更事由の詳細	changeCause
23	法人番号指定年月日	assignmentDate
24	最新履歴	latest
25	商号又は名称（英語表記）	enName
26	国内所在地（都道府県）（英語表記）	enPrefectureName
27	国内所在地（市町村丁目番地等）（英語表記）	enCityName
28	国外所在地（英語表記）	enAddressOutside
29	フリガナ	furigana
30	検索対象除外	hihyoji
